State,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Supply Volume (MT),Demand Volume (MT),Market Insights,Sowing Area (Hectares),Production Estimate (MT),Stock Level (MT),Stock Released (MT),Inflation Rate (%),Input Type,Input Cost (INR),Seasonality Impact,Intervention Type,Impact on Price (INR/kg),ARIMA_p,ARIMA_d,ARIMA_q,Forecasted Price (INR/kg)
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Mousambi(Sweet Lime),Other,Medium,4000,5500,5000,589,308,Government intervention expected,2538,4539,4734,1077,3.691954391,Seed,778,Low,No Intervention,-7.471631103,2,1,1,4999.061885
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,700,1700,1500,434,361,High demand due to festival,1209,4214,6453,595,4.790274561,Labor,741,High,Stock Release,3.543234593,2,1,1,1504.180967
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Peas Wet,Other,FAQ,1000,3500,3000,546,484,Low supply affecting prices,1887,1608,6860,1668,5.10617441,Fertilizer,369,High,No Intervention,-0.2296059869,3,0,2,3001.840755
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Plum,Other,Medium,3000,6000,5000,429,328,Government intervention expected,4045,1308,7016,1076,5.930333463,Labor,237,High,No Intervention,6.402941313,1,1,2,4995.261183
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,Medium,5000,12000,10000,733,680,High demand due to festival,2926,3448,7002,1020,6.865798749,Fertilizer,787,Medium,No Intervention,-7.225863326,2,0,2,10004.19714
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,500,1500,1200,483,413,Stable demand,4040,2343,7919,1920,3.678838528,Labor,163,Low,Stock Release,-3.985059018,2,1,2,1202.2035
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,800,1200,1000,768,442,Stable demand,4973,1211,6531,1495,7.01319848,Labor,742,Medium,Stock Release,9.00492748,1,1,1,999.9257346
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,2400,8800,8000,680,689,High demand due to festival,1849,3364,6529,856,6.050141567,Fertilizer,606,Medium,No Intervention,1.061457586,2,1,1,7999.630153
Chattisgarh,Balodabazar,Bhatgaon,Paddy(Dhan)(Common),Paddy,FAQ,1550,1650,1600,743,419,Low supply affecting prices,4884,1184,7308,685,7.904422304,Labor,939,High,Stock Release,8.586019995,2,1,2,1604.331832
Chattisgarh,Balodabazar,Sarsiwan,Paddy(Dhan)(Common),Paddy,FAQ,1550,1650,1600,669,469,High demand due to festival,4966,2228,7596,1042,6.25583839,Fertilizer,799,High,No Intervention,3.780702062,3,1,1,1600.500082
Chattisgarh,Balrampur,Ramanujganj,Maize,Local,FAQ,1970,1970,1970,553,456,Stable demand,2877,2387,6386,650,6.580457524,Fertilizer,888,Medium,Price Cap,8.528627299,1,1,2,1970.027763
Chattisgarh,Balrampur,Ramanujganj,Wheat,Local,FAQ,2130,2130,2130,501,634,Stable demand,1626,2239,6315,1842,3.976044332,Labor,449,Medium,Price Cap,-3.643474313,2,1,1,2132.746245
Chattisgarh,Bastar,Bastar,Maize,Other,FAQ,1600,1700,1650,614,648,Government intervention expected,3726,1245,6313,1582,6.844309777,Labor,246,Low,Price Cap,-8.189324833,3,1,2,1650.931157
Chattisgarh,Bastar,Devda,Maize,Other,FAQ,1600,1700,1650,549,559,Low supply affecting prices,2458,1238,4527,509,3.396330888,Fertilizer,434,High,Stock Release,6.044835298,3,0,1,1647.488608
Chattisgarh,Bastar,Jagdalpur,Dry Chillies,Other,FAQ,7000,7000,7000,482,381,High demand due to festival,3824,2828,7163,1356,6.282652181,Seed,631,High,Price Cap,6.089375049,3,1,1,7004.988791
Chattisgarh,Bastar,Jaitgiri,Maize,Other,FAQ,1600,1700,1650,509,541,Stable demand,2250,2414,7319,1647,3.277864544,Labor,925,High,No Intervention,2.376535893,3,0,1,1647.807796
Chattisgarh,Bastar,Lohandiguda,Maize,Other,FAQ,1600,1700,1650,786,471,Stable demand,1662,1519,7090,855,3.576129107,Labor,653,Low,No Intervention,1.591404063,1,0,2,1651.831265
Chattisgarh,Bastar,Muli,Maize,Other,FAQ,1600,1700,1650,674,530,Stable demand,1267,2613,6919,1869,3.539331372,Seed,961,Low,Stock Release,8.298163414,1,1,1,1649.897359
Chattisgarh,Bijapur,Bharamgarh,Mahua Seed(Hippe seed),Other,FAQ,1600,2000,1800,600,507,High demand due to festival,3163,4907,7461,1293,3.262420324,Seed,506,High,No Intervention,-6.47003066,3,1,2,1796.218339
Chattisgarh,Bijapur,Bhopalpattnam,Mahua Seed(Hippe seed),Other,FAQ,1600,2000,1800,683,374,High demand due to festival,2623,1276,5411,736,4.605694585,Labor,443,High,Price Cap,2.330759427,1,0,1,1804.589789
Chattisgarh,Bijapur,Bijapur,Mahua Seed(Hippe seed),Other,FAQ,1600,2000,1800,572,569,Low supply affecting prices,2853,2005,6973,832,7.97176229,Labor,751,Medium,No Intervention,-9.004587784,3,1,1,1798.3573
Chattisgarh,Bilaspur,Pendraroad,Paddy(Dhan)(Common),Other,FAQ,1500,1500,1500,726,686,Government intervention expected,1753,3249,7686,516,4.741126842,Labor,620,Medium,Stock Release,-7.182701265,2,0,1,1501.57017
Chattisgarh,Dantewada,Gidam,Mahua,Other,FAQ,1500,1700,1600,605,413,Government intervention expected,4431,1213,5118,1947,6.803879567,Seed,690,Low,No Intervention,-1.254553031,2,0,1,1602.377071
Chattisgarh,Durg,Durg,Apple,Apple,Medium,16000,20000,18000,462,361,Government intervention expected,2352,1605,4429,823,3.661585079,Labor,949,High,No Intervention,6.424147388,3,0,2,17998.94716
Chattisgarh,Durg,Durg,Banana - Green,Banana - Green,FAQ,2200,2400,2300,472,661,Stable demand,2868,1477,6842,522,5.272455401,Seed,759,Medium,Price Cap,4.662653815,2,0,2,2297.607376
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,FAQ,3700,4000,3850,650,619,Government intervention expected,2063,1507,6988,1430,3.925579178,Seed,804,Medium,Stock Release,9.481287821,3,0,1,3845.58903
Chattisgarh,Durg,Durg,Bitter gourd,Bitter Gourd,FAQ,6200,6600,6400,523,401,Stable demand,1181,2098,7796,958,3.96048585,Fertilizer,870,High,Price Cap,-9.103027031,2,1,2,6404.515644
Chattisgarh,Durg,Durg,Bottle gourd,Bottle Gourd,FAQ,1600,2000,1800,774,661,Low supply affecting prices,2513,3716,5060,1983,3.498450183,Seed,235,High,No Intervention,-2.372955623,2,0,2,1800.820811
Chattisgarh,Durg,Durg,Brinjal,Round/Long,FAQ,3000,3200,3100,520,509,Stable demand,4280,3712,5416,1020,5.160220765,Fertilizer,138,Medium,Stock Release,-6.824183968,1,0,1,3102.164116
Chattisgarh,Durg,Durg,Cabbage,Cabbage,FAQ,1500,1700,1600,674,554,Low supply affecting prices,1902,2977,5596,1218,3.377674604,Seed,419,High,No Intervention,-9.260774319,3,1,1,1599.688521
Chattisgarh,Durg,Durg,Capsicum,Capsicum,FAQ,5000,5500,5250,797,319,Low supply affecting prices,4344,1141,7362,1056,7.549056782,Seed,386,High,No Intervention,-4.712048874,1,0,1,5247.332081
Chattisgarh,Durg,Durg,Carrot,Carrot,FAQ,2800,3200,3000,519,357,Government intervention expected,2142,4661,5897,1944,5.239501608,Fertilizer,978,Low,Price Cap,-5.110563116,3,1,1,3004.954127
Chattisgarh,Durg,Durg,Cauliflower,Cauliflower,FAQ,5200,5600,5400,716,411,Government intervention expected,4453,3369,6350,902,7.192830707,Fertilizer,562,Medium,No Intervention,-1.599445631,2,1,2,5404.67396
Chattisgarh,Durg,Durg,Chikoos(Sapota),Sapota,Medium,4000,6000,5000,563,612,Stable demand,3993,2717,5779,1854,7.897322249,Fertilizer,990,Medium,Stock Release,-7.198375842,3,0,1,5003.599939
Chattisgarh,Durg,Durg,Coriander(Leaves),Coriander,FAQ,12000,14000,13000,685,495,High demand due to festival,4607,1460,7988,956,6.388895894,Fertilizer,761,Low,Stock Release,-0.2286484155,3,1,1,13004.16129
Chattisgarh,Durg,Durg,Cucumbar(Kheera),Cucumbar,FAQ,2000,2500,2250,664,674,Government intervention expected,3305,3754,6448,1550,7.507553786,Fertilizer,451,Low,Price Cap,8.401966546,3,0,2,2250.750408
Chattisgarh,Durg,Durg,Garlic,Average,FAQ,10000,14000,12000,719,652,Government intervention expected,2506,1669,6870,896,3.676837603,Fertilizer,104,Medium,Price Cap,4.963778632,3,1,1,11998.67788
Chattisgarh,Durg,Durg,Green Chilli,Green Chilly,FAQ,9000,11000,10000,560,391,High demand due to festival,3556,4217,6391,1711,7.149968229,Fertilizer,335,Medium,Stock Release,6.84354659,2,1,1,9998.431525
Chattisgarh,Durg,Durg,Guar,Gwar,FAQ,5200,5600,5400,775,351,High demand due to festival,3139,3101,6910,639,4.356086666,Seed,335,High,Price Cap,6.094571866,2,1,2,5404.337248
Chattisgarh,Durg,Durg,Lemon,Lemon,FAQ,4000,6000,5000,707,592,Government intervention expected,3002,4427,4517,1020,5.362990194,Seed,925,High,No Intervention,-2.207473271,1,0,2,5004.588656
Chattisgarh,Durg,Durg,Little gourd (Kundru),Little gourd (Kundru),FAQ,3800,4000,3900,488,307,High demand due to festival,2184,3324,5400,1245,6.232913245,Fertilizer,600,Medium,Stock Release,4.179220726,3,1,1,3899.40485
Chattisgarh,Durg,Durg,Mango,Badami,Medium,5000,7000,6000,541,599,Stable demand,1148,2844,7889,591,7.517717963,Labor,204,High,Price Cap,5.085124788,1,0,2,6001.070901
Chattisgarh,Durg,Durg,Mousambi(Sweet Lime),Mousambi,Medium,6000,8000,7000,602,397,Low supply affecting prices,3164,2618,4164,576,7.554969005,Fertilizer,306,High,Stock Release,-5.887037886,2,0,1,7003.052697
Chattisgarh,Durg,Durg,Onion,Nasik,FAQ,1500,1700,1600,708,535,Low supply affecting prices,3505,1399,7084,1351,3.460511886,Labor,338,High,No Intervention,7.205247332,2,0,2,1602.025081
Chattisgarh,Durg,Durg,Papaya (Raw),Papaya (Raw),FAQ,1900,2000,1950,626,688,Government intervention expected,3612,1667,6072,1767,4.822777444,Seed,930,Low,Price Cap,-0.8450520296,3,1,2,1953.696785
Chattisgarh,Durg,Durg,Pomegranate,Pomogranate,Medium,20000,24000,22000,733,673,Government intervention expected,3861,3563,7807,1344,6.965876033,Seed,928,Medium,Stock Release,-9.67280521,3,1,1,22001.08632
Chattisgarh,Durg,Durg,Potato,Potato,FAQ,1600,1800,1700,621,368,Stable demand,3092,2522,5146,1166,6.515784446,Labor,151,Medium,No Intervention,2.867682172,1,1,1,1700.824816
Chattisgarh,Durg,Durg,Pumpkin,Pumpkin,FAQ,1200,1400,1300,440,344,High demand due to festival,2800,2334,4128,1458,3.131762225,Seed,207,Medium,Price Cap,3.535261838,2,1,1,1298.75781
Chattisgarh,Durg,Durg,Raddish,Raddish,FAQ,1500,1600,1550,595,436,Government intervention expected,3021,2294,6864,1488,5.249447025,Fertilizer,456,High,Stock Release,1.035245934,1,1,1,1545.732781
Chattisgarh,Durg,Durg,Sweet Potato,Sweet Potato,FAQ,2400,2600,2500,467,533,Low supply affecting prices,3821,3623,5657,1296,7.146265476,Labor,132,High,No Intervention,-5.751693983,2,1,2,2495.555421
Chattisgarh,Durg,Durg,Tinda,Tinda,FAQ,1600,1800,1700,663,331,Stable demand,2842,2472,7618,587,6.688422187,Labor,121,Low,No Intervention,-0.3544394529,2,1,1,1696.517509
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,FAQ,1980,1980,1980,401,588,Stable demand,3036,3159,5017,1414,5.059248962,Seed,406,Low,No Intervention,-1.997450995,1,1,1,1975.577731
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,FAQ,1980,1980,1980,760,425,High demand due to festival,3281,1238,4594,1817,6.675805612,Labor,110,Medium,No Intervention,9.493721477,2,1,1,1980.351441
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,FAQ,1980,1980,1980,524,366,Government intervention expected,2398,4215,5332,594,5.756053546,Labor,738,Low,No Intervention,6.493568695,2,1,2,1979.035771
Chattisgarh,Koria,Baikunthpur,Kodo Millet(Varagu),Other,FAQ,1500,1500,1500,509,329,Government intervention expected,2570,4445,6483,1776,7.56314499,Labor,541,Low,Price Cap,5.237992102,1,0,1,1495.262755
Chattisgarh,Koria,Baikunthpur,Maize,Other,FAQ,1965,1965,1965,485,413,Stable demand,2873,2043,4181,1050,5.935635872,Seed,661,High,No Intervention,-6.37852594,2,1,2,1960.218934
Chattisgarh,Koria,Baikunthpur,Paddy(Dhan)(Common),Other,FAQ,2045,2045,2045,519,503,Low supply affecting prices,2972,4647,5611,898,5.003670894,Labor,297,Medium,Price Cap,-3.379199652,1,1,1,2045.230156
Chattisgarh,Koria,Manendragarh,Tobacco,Other,FAQ,5342,5342,5342,526,328,Government intervention expected,4986,2312,6663,1266,7.314603123,Labor,628,Medium,Price Cap,-2.405763289,3,0,2,5342.491132
Chattisgarh,Mungeli,Lormi,Paddy(Dhan)(Common),Paddy fine,FAQ,1600,1750,1750,654,430,Low supply affecting prices,3244,2616,4743,1577,3.249344212,Fertilizer,143,Low,Stock Release,-0.147449354,2,0,2,1745.372857
Chattisgarh,Narayanpur,Narayanpur,Millets,Other,FAQ,3000,3800,3500,582,484,Stable demand,3072,3244,5838,742,7.502553218,Fertilizer,284,High,Stock Release,-9.395509759,1,1,2,3501.699877
Chattisgarh,Raigarh,Raigarh,Onion,Other,FAQ,1800,2000,1800,415,552,Government intervention expected,3442,3429,6090,1633,6.481734072,Labor,488,Low,Price Cap,1.860184561,2,0,2,1796.258681
Chattisgarh,Raigarh,Raigarh,Potato,Other,FAQ,1200,1800,1500,461,585,Low supply affecting prices,1713,4652,6451,1123,7.703029302,Seed,650,Low,No Intervention,-2.842869121,2,1,2,1499.945173
Chattisgarh,Raigarh,Raigarh,Tomato,Other,FAQ,8000,9000,8000,768,692,Stable demand,2808,2721,5952,1200,4.252524346,Labor,606,Medium,No Intervention,1.233542909,1,0,1,7996.58813
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),I.R.-64,FAQ,1850,1850,1850,557,685,Low supply affecting prices,4107,4750,4604,1744,6.474606823,Seed,541,High,Price Cap,-9.820432315,3,0,2,1845.390616
Goa,North Goa,Valpol,Arecanut(Betelnut/Supari),Red,FAQ,33500,33500,33500,667,361,Government intervention expected,4545,2740,6703,1063,7.047316335,Fertilizer,595,Low,No Intervention,-3.57133722,1,1,2,33497.12365
Goa,North Goa,Valpol,Arecanut(Betelnut/Supari),Supari,FAQ,36500,36500,36500,434,302,High demand due to festival,1222,2515,5789,661,6.510512899,Fertilizer,604,Low,Price Cap,5.37332112,2,0,2,36499.64146
Goa,North Goa,Valpol,Arecanut(Betelnut/Supari),White,FAQ,34500,34500,34500,666,367,Low supply affecting prices,1863,3211,5613,534,4.051668511,Labor,236,High,Stock Release,0.02163105054,3,1,1,34502.43909
Gujarat,Amreli,Babra,Cotton,Other,FAQ,7050,7100,7075,463,324,High demand due to festival,4860,3653,4262,1465,4.37794784,Seed,378,Low,No Intervention,5.777746567,3,1,1,7072.655578
Gujarat,Amreli,Babra,Groundnut,Other,FAQ,6500,6700,6600,449,478,Government intervention expected,1529,2272,6117,536,5.833711742,Seed,263,Medium,No Intervention,3.97920785,2,0,2,6601.850645
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,4460,4535,4495,654,440,High demand due to festival,2211,4139,4660,1345,5.233753013,Seed,642,Low,No Intervention,7.098411503,1,1,1,4498.626936
Gujarat,Amreli,Bagasara,Cotton,Other,FAQ,6250,6825,6535,548,530,Stable demand,2425,3902,5315,1328,6.675585942,Labor,951,Medium,Stock Release,-9.851128229,1,0,1,6532.697778
Gujarat,Amreli,Bagasara,Soyabean,Yellow,FAQ,4560,4700,4630,724,599,High demand due to festival,3304,2044,7285,1122,4.893383457,Seed,122,Medium,No Intervention,-4.773490163,2,1,1,4630.22226
Gujarat,Amreli,Bagasara,Wheat,Lokwan Gujrat,FAQ,2250,2285,2265,703,462,Low supply affecting prices,1653,3878,6919,1893,7.297402609,Fertilizer,810,Medium,Price Cap,0.976034532,1,1,1,2264.094351
Gujarat,Amreli,Dhari,Cotton,Other,FAQ,7140,7140,7140,675,610,Low supply affecting prices,2159,2535,4821,1700,5.159602025,Seed,606,Medium,No Intervention,8.820361533,1,0,1,7135.274664
Gujarat,Amreli,Dhari,Ground Nut Seed,Ground Nut Seed,FAQ,8250,8250,8250,756,692,High demand due to festival,2842,3644,6194,1020,3.200206404,Seed,785,Medium,Price Cap,3.595803603,1,1,1,8248.918733
Gujarat,Amreli,Savarkundla,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,1900,2120,2010,571,429,Stable demand,3638,4461,6072,1798,3.086820379,Labor,609,Medium,No Intervention,-0.8682242744,3,0,1,2008.772004
Gujarat,Amreli,Savarkundla,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,4000,4750,4375,600,545,Government intervention expected,1443,1535,5346,604,6.23371293,Labor,669,Low,Price Cap,-7.39717339,3,0,2,4376.218968
Gujarat,Amreli,Savarkundla,Cotton,Narma BT Cotton,FAQ,5000,7105,6053,792,596,High demand due to festival,3465,3158,6019,655,5.702765591,Labor,807,High,Stock Release,-0.1356929049,1,1,1,6056.664313
Gujarat,Amreli,Savarkundla,Ground Nut Seed,Ground Nut Seed,FAQ,8000,10005,9003,723,471,Low supply affecting prices,4363,1948,7180,835,5.713723217,Labor,699,Low,No Intervention,-1.178260551,2,0,2,9004.718686
Gujarat,Amreli,Savarkundla,Groundnut,Big (With Shell),FAQ,5755,7855,6805,434,363,Low supply affecting prices,1573,1862,6740,1549,6.95004508,Labor,543,High,Stock Release,5.568865494,2,1,2,6803.553833
Gujarat,Amreli,Savarkundla,Jowar(Sorghum),Jowar ( White),FAQ,2755,4950,3853,615,330,High demand due to festival,3176,3642,6298,795,4.878601173,Seed,241,Low,Stock Release,-1.73302719,2,1,1,3852.488705
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,14500,16700,15600,464,346,High demand due to festival,2010,4941,6529,1878,7.977234988,Seed,380,High,No Intervention,-3.623238503,2,0,1,15603.87159
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,14100,15630,14865,407,429,High demand due to festival,1340,2021,6762,1385,7.727650503,Labor,306,Low,No Intervention,-8.205606351,1,0,1,14866.39002
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,2200,2500,2350,700,651,Government intervention expected,3857,3507,4815,568,3.064808836,Labor,783,Medium,Price Cap,-9.069978721,1,1,1,2348.898413
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,2175,2390,2283,742,632,Low supply affecting prices,2280,4149,4681,1850,7.478713841,Seed,401,High,No Intervention,-1.21731145,2,1,2,2284.001645
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,FAQ,3500,4000,3800,731,409,Low supply affecting prices,4039,1433,6222,650,6.402748252,Labor,496,Low,No Intervention,-3.06276041,1,1,1,3801.443323
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bottle gourd,Bottle Gourd,FAQ,2000,2500,2250,475,368,Low supply affecting prices,4795,2403,7418,1356,5.510451684,Fertilizer,417,Medium,Price Cap,1.10648339,2,1,2,2249.822754
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,FAQ,3000,3500,3250,573,357,Government intervention expected,4637,4723,5193,1076,5.91373737,Seed,886,Low,Price Cap,4.238568742,2,0,1,3253.653808
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cabbage,Cabbage,FAQ,750,1000,900,446,405,Stable demand,4758,4511,4001,1161,7.209286816,Fertilizer,979,High,No Intervention,-9.199863729,3,0,1,903.1272272
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,2000,2500,2250,414,599,Low supply affecting prices,1099,3935,7717,1843,7.75518696,Seed,957,Low,No Intervention,-0.07565780594,2,1,2,2250.244108
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Green Chilli,Green Chilly,FAQ,5000,6000,5500,760,629,Low supply affecting prices,3086,1782,4638,1256,5.801668124,Seed,147,Low,No Intervention,7.239437884,3,0,2,5504.583538
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,1500,2000,1800,546,555,Stable demand,4997,4410,7629,951,3.906457236,Seed,772,Medium,Stock Release,-0.8966682772,2,0,2,1804.532155
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Potato,Potato,FAQ,1200,1300,1250,425,611,Government intervention expected,3310,1987,6753,1069,6.198769919,Seed,776,Medium,Stock Release,0.424844219,1,1,1,1254.660632
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Spinach,Spinach,FAQ,4500,5000,4800,707,470,Stable demand,1149,4495,6409,1635,3.381094842,Seed,489,Medium,No Intervention,-0.2641631857,3,0,2,4797.205068
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Apple,Other,Medium,15000,20250,17625,492,682,Stable demand,2656,1168,7792,1134,6.175693684,Seed,478,High,Price Cap,-2.20414163,1,1,2,17621.03374
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Banana,Other,Medium,2000,2350,2175,631,461,Stable demand,3737,1708,7367,1985,7.043059013,Seed,316,Medium,No Intervention,-7.797609522,2,0,2,2176.190958
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bhindi(Ladies Finger),Other,FAQ,1500,2300,1900,420,585,Stable demand,3860,1964,6617,861,4.766657182,Labor,728,High,No Intervention,-7.472875686,3,1,1,1902.275684
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bottle gourd,Other,FAQ,2000,2350,2175,706,370,Government intervention expected,2353,4333,4589,702,3.355922121,Labor,948,Medium,Stock Release,-6.418215165,2,0,2,2173.069971
